slug,status,amazonUrl,flipkartUrl
vivo-v70-elite,dry-run,,https://www.flipkart.com/vivo-v70-elite-passion-red-256-gb/p/itmf8e28e33a9cd0
vivo-v70,dry-run,https://www.amazon.in/vivo-V70-Passion-256GB-Storage/dp/B0GHQH9FN7,https://www.flipkart.com/vivo-v70-passion-red-256-gb/p/itmecfa7a31699de
vivo-v70-fe,dry-run,,https://www.flipkart.com/vivo-v70-fe-northern-lights-purple-256-gb/p/itmda852a903ef97
vivo-t4-lite,dry-run,,https://www.flipkart.com/vivo-t4-lite-5g-2026-titanium-gold-128-gb/p/itm08f41580b36a4
vivo-t4x,dry-run,,https://www.flipkart.com/vivo-t4x-5g-marine-blue-128-gb/p/itm017656bdd097b
vivo-t4r,dry-run,,https://www.flipkart.com/vivo-t4r-5g-twilight-blue-128-gb/p/itm3a5653667cb9c
vivo-t4,dry-run,,https://www.flipkart.com/vivo-t4-5g-emerald-blaze-128-gb/p/itmc2634fd4daeb9
vivo-t4-pro,dry-run,,https://www.flipkart.com/vivo-t4-pro-5g-nitro-blue-128-gb/p/itm4da1824b696d9
vivo-t4-ultra,dry-run,https://www.amazon.in/VIVO-T4-Ultra-5G-Meteor/dp/B0FFB1L75V,https://www.flipkart.com/vivo-t4-ultra-5g-phoenix-gold-256-gb/p/itm9cfd8118c9ce0
vivo-t5x,dry-run,,https://www.flipkart.com/vivo-t5x-5g-cyber-green-128-gb/p/itm7da8aa253e72b
vivo-t5-pro,dry-run,,https://www.flipkart.com/vivo-t5-pro-5g-glacier-blue-128-gb/p/itma21e2e09d4493
vivo-y05,dry-run,,https://www.flipkart.com/vivo-y05-midnight-blue-64-gb/p/itm7b1e1a65e7c1f
vivo-y11,dry-run,,https://www.flipkart.com/vivo-y11-5g-sunrise-gold-64-gb/p/itm722b8f27be0b8
vivo-y31,dry-run,,https://www.flipkart.com/vivo-y31-5g-rose-red-128-gb/p/itm5337e173eced8
vivo-y51-pro,dry-run,,https://www.flipkart.com/vivo-y51-pro-5g-noble-gold-256-gb/p/itmed4b902ad17d9
iqoo-neo-10,dry-run,https://www.amazon.in/iQOO-Processor-Snapdragon-Supercomputing-FlashCharge/dp/B0GXZ1VC4J,https://www.flipkart.com/iqoo-neo-10-titanium-chrome-256-gb/p/itm4faf25d0485ec
iqoo-15,dry-run,https://www.amazon.in/iQOO-Storage-Fastest-Snapdragon-Processor/dp/B0FYGBSKFB,https://www.flipkart.com/iqoo-15-5g-legend-256-gb/p/itm9db365d8009fa
iqoo-15r,dry-run,https://www.amazon.in/iQOO-Snapdragon%C2%AE-Processor-Slimmest-Smartphone/dp/B0GL83ZTP8,https://www.flipkart.com/iqoo-15r-5g-dark-knight-512-gb/p/itm7bc8aee18f590
iqoo-z10-lite,dry-run,https://www.amazon.in/iQOO-Dimensity-Processor-Military-Shock-Resistance/dp/B0FC5XK9WZ,https://www.flipkart.com/iqoo-z10-lite-5g-titanium-blue-256-gb/p/itm890e52c60d695
iqoo-z10r,dry-run,https://www.amazon.in/iQOO-Moonstone-Quad-Curved-Dimensity-Processor/dp/B0FHB5982P,https://www.flipkart.com/iqoo-z10r-5g-moonstone-128-gb/p/itm8e9d302f6161e
iqoo-z11x,dry-run,https://www.amazon.in/iQOO-Dimensity-7400-Turbo-Processor-Recording/dp/B0GP7BD27Q,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/p/itm8157cfb5645d4
samsung-s26-plus,dry-run,https://www.amazon.in/Samsung-Storage-Creative-Wireless-Charging/dp/B0GL8H3XFN,https://www.flipkart.com/samsung-galaxy-s26-5g-black-256-gb/p/itmf5ed5d08eef13
samsung-s25-ultra,dry-run,https://www.amazon.in/Samsung-Galaxy-Ultra-Titanium-Storage/dp/B0FLQLT41D,https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-silverblue-256-gb/p/itm413a5c3f30151
samsung-s25-fe,dry-run,https://www.amazon.in/Samsung-Smartphone-JetBlack-Storage-ProVisual/dp/B0FNMQW9HW,https://www.flipkart.com/samsung-galaxy-s25-fe-5g-navy-128-gb/p/itm7c78f4eee8160
samsung-tab-s10-lite,dry-run,,https://www.flipkart.com/samsung-galaxy-tab-s10-lite-6-gb-ram-128-rom-10-9-inch-wi-fi-only-tablet-grey/p/itm45bd99e57f348
samsung-m56,dry-run,,https://www.flipkart.com/samsung-galaxy-m56-5g-light-green-256-gb/p/itmad6677506ec41
samsung-m36,dry-run,,https://www.flipkart.com/samsung-m36-5g-light-green-128-gb/p/itm4cf1eae54334f
samsung-m06,dry-run,,https://www.flipkart.com/samsung-galaxy-m06-5g-blazing-black-64-gb/p/itm0c7e356cd6ad6
samsung-f70e,dry-run,,https://www.flipkart.com/samsung-galaxy-f70e-5g-spotlight-blue-128-gb/p/itm61c2a75f6c91f
samsung-f36,dry-run,,https://www.flipkart.com/samsung-galaxy-f36-5g-black-128-gb/p/itm195a9802ad40d
samsung-f06,dry-run,,https://www.flipkart.com/samsung-galaxy-f06-5g-bahama-blue-128-gb/p/itm58189fada62cb
samsung-f07,dry-run,,https://www.flipkart.com/samsung-galaxy-f07-green-64-gb/p/itm294cbb65839e6
samsung-a06,dry-run,,https://www.flipkart.com/samsung-galaxy-a06-gold-128-gb/p/itm120d59cb00f4d
