timestamp,product,brand,old_price,new_price,diff,direction,source
2026-07-12 21:46:51,iQOO Z10 Lite,iQOO,16999,25000,8001,UP,both
2026-07-12 21:47:43,iQOO Z10R,iQOO,22999,20850,-2149,DOWN,both
2026-07-12 21:47:58,iQOO Z11x,iQOO,24999,25899,900,UP,both
2026-07-12 21:48:36,Motorola Moto G37,Motorola,10000,13999,3999,UP,flipkart
2026-07-12 21:50:02,Good Phone,Motorola,24999,19999,-5000,DOWN,flipkart
2026-07-12 21:51:22,OnePlus Nord 6,OnePlus,49472,43804,-5668,DOWN,both
2026-07-12 21:52:16,OnePlus Nord CE6,OnePlus,35850,33445,-2405,DOWN,both
2026-07-12 21:52:36,OnePlus Nord CE6 Lite,OnePlus,31927,27800,-4127,DOWN,both
2026-07-12 21:53:32,OnePlus Pad Go 2,OnePlus,31499,28499,-3000,DOWN,both
2026-07-12 21:54:44,Oppo A6x,Oppo,17999,22999,5000,UP,flipkart
2026-07-12 21:54:52,Oppo F31 Pro Plus,Oppo,34999,32999,-2000,DOWN,flipkart
2026-07-12 21:55:15,Oppo K14,Oppo,21999,19999,-2000,DOWN,flipkart
2026-07-12 21:55:25,Oppo Reno 15,Oppo,47999,55999,8000,UP,flipkart
2026-07-12 21:55:34,Oppo Reno 15C,Oppo,41999,44999,3000,UP,flipkart
2026-07-12 22:23:17,Realme C71,Realme,12869,12998,129,UP,flipkart
2026-07-12 22:23:31,Good Phone,Motorola,24999,19999,-5000,DOWN,flipkart
2026-07-12 22:23:44,Realme Pad 2 Lite,Realme,18999,16999,-2000,DOWN,flipkart
2026-07-12 22:23:59,Redmi 15A,Redmi,14859,14999,140,UP,both
2026-07-12 22:24:21,Redmi 15C,Redmi,18999,20999,2000,UP,both
2026-07-12 22:24:28,Good Phone,Motorola,24999,19999,-5000,DOWN,flipkart
2026-07-12 22:24:33,Redmi A4,Redmi,14999,8045,-6954,DOWN,both
2026-07-12 22:25:00,Redmi A5,Redmi,8699,9999,1300,UP,both
2026-07-12 22:25:25,Good Phone,Motorola,24999,19999,-5000,DOWN,flipkart
